Locality,Latitude,Longitude
Koregaon Park,18.536622549999997,73.8932737933634
Aundh,18.5618834,73.8101957
Kothrud,18.5038889,73.807673
Baner,18.5642431,73.7768573
Viman Nagar,18.5653748,73.91028171896751
Shivaji Nagar,18.532172,73.8496602
Model Colony,18.5314302,73.8374513
Kharadi,18.5512763,73.9416575
Pashan,18.5386704,73.7952542
Wakad,18.6022495,73.7644454
Hinjewadi,18.5821233,73.6914495
Magarpatta,18.5111545,73.92738227328095
Hadapsar,18.526967,73.9278252
Pimple Saudagar,18.5981553,73.7977661
Kondhwa,18.4779905,73.8940627
Shivajinagar,18.5325915,73.8513115
Deccan,18.548889,73.87486405894472
Camp,18.5216239,73.87175273262162
Kalyani Nagar,18.5481382,73.9025513
Katraj,18.4536792,73.8563196
Shivane,18.4670411,73.7930648
Bavdhan,18.5209541,73.7780873
Pimpri,18.623185399999997,73.80199315
Warje,18.4820444,73.8001705
Wanowrie,18.4883683,73.8986672
Deccan Gymkhana,18.5158926,73.84116
